exercise_name,session_exercises,user_text,event_type,severity
Lat Pulldown,Lat Pulldown; Pull-Up; Leg Extension; Face Pull; Hamstring Curl; Lunge,on rear delt my technique felt off.,none,na
Lateral Raise,Leg Extension; Hip Thrust; Face Pull; Leg Press; Overhead Press; Lateral Raise; Triceps Pushdown; Pull-Up,had to leave early so I cut ohp. couldn't finish accessories so I cut face pull.,none,na
Dumbbell Fly,Dumbbell Fly; Leg Extension; Overhead Press; Bench Press; Hamstring Curl; Face Pull,shoulder press had 4 reps in reserve could increase load. rear delt had tweak in my knee.,none,na
Bench Press,Deadlift; Bench Press; Hip Thrust; Calf Raise; Lat Pulldown; Lunge; Dumbbell Fly; Romanian Deadlift,glute bridge was too heavy and I missed reps. db fly couldn't finish! Will adjust next time.,none,na
Barbell Row,Barbell Row; Hip Thrust; Deadlift; Dumbbell Curl; Leg Extension,"BTW leg extension, dl, and hip thrust felt light could add weight next time.",none,na
Lat Pulldown,Dumbbell Curl; Overhead Press; Pull-Up; Lateral Raise; Lat Pulldown,not recovered today! lat pulldown had to stop early. side raise missed reps.,too_heavy,high
Pull-Up,Barbell Row; Lateral Raise; Pull-Up; Lunge; Deadlift; Calf Raise; Leg Press; Squat,BTW bad sleep today. Overall ok.,other,medium
Face Pull,Pull-Up; Hamstring Curl; Bench Press; Face Pull; Dumbbell Curl,on face pull my knees caved. not recovered today. biceps curl missed reps!,form,low
Incline Bench Press,Hip Thrust; Incline Bench Press; Lunge; Calf Raise; Romanian Deadlift; Hamstring Curl,on hip thrust my lost tightness.,none,na
Dumbbell Curl,Dumbbell Curl; Calf Raise; Lunge; Lateral Raise; Deadlift,BTW ran out of time so I cut calves. time crunch so I cut biceps curl. short on time so I cut side raise.,time,low
Romanian Deadlift,Dumbbell Curl; Romanian Deadlift; Calf Raise; Triceps Pushdown; Leg Extension; Lateral Raise; Bench Press; Hamstring Curl,on rope pushdown my back rounded!,none,na
Incline Bench Press,Calf Raise; Squat; Romanian Deadlift; Overhead Press; Lat Pulldown; Hip Thrust; Incline Bench Press,bad sleep today!,none,na
Leg Press,Face Pull; Calf Raise; Lunge; Lat Pulldown; Squat; Romanian Deadlift; Leg Press,lunge and calf raise were super heavy and I couldn't finish all reps!,none,na
Hip Thrust,Face Pull; Hip Thrust; Dumbbell Fly; Deadlift; Incline Bench Press; Lat Pulldown; Leg Extension; Overhead Press,rack was occupied so I couldnt do face pull!,none,na
Dumbbell Curl,Overhead Press; Leg Press; Calf Raise; Lateral Raise; Dumbbell Curl; Leg Extension; Hamstring Curl; Dumbbell Fly,quad extension had pain in my elbow!,none,na
Romanian Deadlift,Barbell Row; Bench Press; Romanian Deadlift; Leg Press; Lat Pulldown; Incline Bench Press,romanian deadlift and flat bench felt easy could add weight next time.,too_light,medium
Lat Pulldown,Lat Pulldown; Hamstring Curl; Incline Bench Press; Triceps Pushdown; Barbell Row; Dumbbell Fly; Bench Press; Calf Raise,leg curl felt like warmup could increase load.,none,na
Triceps Pushdown,Leg Press; Incline Bench Press; Dumbbell Curl; Overhead Press; Lunge; Lateral Raise; Triceps Pushdown; Hip Thrust,shoulder press and lateral raise felt light! leg press had to stop early and I failed the last rep!,none,na
Calf Raise,Squat; Lateral Raise; Calf Raise; Hamstring Curl; Triceps Pushdown; Incline Bench Press; Face Pull,hamstring curl and calf raise were too heavy and I couldn't finish all reps.,too_heavy,high
Incline Bench Press,Hamstring Curl; Romanian Deadlift; Leg Extension; Incline Bench Press; Bench Press; Lunge; Squat; Barbell Row,BTW machine was taken so I couldnt do lunge. no cables available so I couldnt do back squat!,none,na
Pull-Up,Squat; Dumbbell Fly; Leg Extension; Pull-Up; Calf Raise; Face Pull; Barbell Row; Leg Press,quad extension and db fly were brutal. couldn't finish accessories so I cut press.,none,na
Pull-Up,Dumbbell Fly; Hamstring Curl; Incline Bench Press; Pull-Up; Calf Raise,felt low energy today. ngl,none,na
Dumbbell Fly,Dumbbell Fly; Romanian Deadlift; Lunge; Bench Press; Deadlift; Squat,dl felt like warmup.,none,na
Dumbbell Fly,Dumbbell Fly; Incline Bench Press; Barbell Row; Hamstring Curl; Face Pull; Romanian Deadlift; Lateral Raise; Lat Pulldown,BTW no cables available so I couldn't do fly! incline press couldn't finish. Will adjust next time.,equipment,low
Hip Thrust,Leg Extension; Hip Thrust; Deadlift; Barbell Row; Dumbbell Fly,"Also, hip thrust absolutely brutal.",too_heavy,low
Triceps Pushdown,Lunge; Pull-Up; Triceps Pushdown; Calf Raise; Dumbbell Fly; Leg Press; Lateral Raise; Face Pull,All good.,none,na
Hip Thrust,Dumbbell Curl; Dumbbell Fly; Deadlift; Lunge; Hamstring Curl; Hip Thrust,"Also, db curl felt super heavy.",none,na
Squat,Romanian Deadlift; Bench Press; Squat; Calf Raise; Hamstring Curl; Leg Press; Leg Extension; Triceps Pushdown,BTW machine was taken so I couldn't do hamstring curl. romanian deadlift missed reps! Need more rest.,none,na
Deadlift,Triceps Pushdown; Dumbbell Curl; Lateral Raise; Lunge; Deadlift,on deadlift my back rounded. Overall ok.,form,low
Incline Bench Press,Bench Press; Dumbbell Fly; Barbell Row; Incline Bench Press; Romanian Deadlift; Squat,db fly had aching in my shoulder. felt gassed today!,none,na
Romanian Deadlift,Lateral Raise; Pull-Up; Overhead Press; Romanian Deadlift; Squat; Barbell Row; Dumbbell Curl; Incline Bench Press,bsq felt super heavy and I missed reps. bb row felt like warmup could increase load! chin-up had pain in my neck!,none,na
Dumbbell Fly,Romanian Deadlift; Calf Raise; Dumbbell Fly; Face Pull; Hamstring Curl; Lunge; Overhead Press,hamstring curl and fly felt too easy.,too_light,high
Hamstring Curl,Deadlift; Lunge; Squat; Hip Thrust; Dumbbell Fly; Hamstring Curl,had to leave early so I cut leg curl.,time,low
Deadlift,Dumbbell Curl; Triceps Pushdown; Dumbbell Fly; Lateral Raise; Squat; Deadlift; Romanian Deadlift; Overhead Press,BTW short on time so I cut side raise.,none,na
Lat Pulldown,Lateral Raise; Lunge; Lat Pulldown; Romanian Deadlift; Bench Press; Dumbbell Curl; Triceps Pushdown,lunge missed reps.,none,na
Dumbbell Fly,Deadlift; Overhead Press; Calf Raise; Dumbbell Fly; Barbell Row; Leg Press; Hip Thrust; Dumbbell Curl,glute bridge too easy next time add weight.,none,na
Triceps Pushdown,Pull-Up; Triceps Pushdown; Incline Bench Press; Lunge; Hip Thrust,"Felt good today, no issues.",none,na
Leg Extension,Pull-Up; Squat; Incline Bench Press; Hamstring Curl; Triceps Pushdown; Leg Extension,BTW tricep pushdown and quad extension felt easy could add weight next time!,too_light,medium
Face Pull,Hip Thrust; Deadlift; Calf Raise; Lat Pulldown; Bench Press; Face Pull; Pull-Up; Incline Bench Press,gym was packed so I couldn't do dl. ran out of time so I cut calf raise. Need more rest.,none,na
Incline Bench Press,Deadlift; Dumbbell Fly; Barbell Row; Dumbbell Curl; Incline Bench Press; Hamstring Curl; Hip Thrust; Squat,time crunch so I cut curl! dl was too light!,none,na
Barbell Row,Face Pull; Barbell Row; Incline Bench Press; Dumbbell Curl; Hip Thrust,glute bridge and rear delt felt too easy could add weight next time. Will adjust next time.,none,na
Hamstring Curl,Pull-Up; Hamstring Curl; Hip Thrust; Leg Extension; Overhead Press,quad extension couldn't finish.,none,na
Triceps Pushdown,Dumbbell Curl; Hamstring Curl; Triceps Pushdown; Incline Bench Press; Deadlift; Lat Pulldown; Bench Press,dl felt super heavy and I failed the last rep! benchpress had sharp pain in my lower back!,none,na
Dumbbell Curl,Hamstring Curl; Triceps Pushdown; Lunge; Hip Thrust; Dumbbell Curl; Dumbbell Fly; Incline Bench Press; Leg Press,rope pushdown and curl felt too easy.,too_light,low
Bench Press,Bench Press; Pull-Up; Hip Thrust; Dumbbell Curl; Squat; Leg Press; Overhead Press,no cables available so I couldn't do biceps curl.,none,na
Bench Press,Leg Press; Incline Bench Press; Lunge; Barbell Row; Face Pull; Dumbbell Fly; Bench Press,Solid session.,none,na
Dumbbell Fly,Triceps Pushdown; Face Pull; Dumbbell Fly; Bench Press; Lat Pulldown; Incline Bench Press; Dumbbell Curl,All good.,none,na
Leg Extension,Lat Pulldown; Triceps Pushdown; Leg Extension; Incline Bench Press; Deadlift; Romanian Deadlift,romanian deadlift and leg extension were super heavy and I couldn't finish all reps.,too_heavy,low
Pull-Up,Pull-Up; Hamstring Curl; Face Pull; Lateral Raise; Leg Press; Hip Thrust; Romanian Deadlift,BTW glute bridge failed last set. stressful day today!,none,na
Pull-Up,Pull-Up; Barbell Row; Bench Press; Lat Pulldown; Leg Extension; Overhead Press; Hip Thrust; Triceps Pushdown,Everything went fine.,none,na
Bench Press,Leg Extension; Dumbbell Fly; Triceps Pushdown; Lateral Raise; Calf Raise; Face Pull; Lat Pulldown; Bench Press,couldn't finish accessories so I cut db fly.,none,na
Dumbbell Fly,Squat; Pull-Up; Hip Thrust; Hamstring Curl; Dumbbell Fly; Lunge; Barbell Row; Bench Press,lunge failed last set.,none,na
Leg Press,Barbell Row; Overhead Press; Leg Press; Leg Extension; Bench Press; Lunge; Dumbbell Fly; Romanian Deadlift,"Also, split squat couldn't finish.",none,na
Calf Raise,Pull-Up; Lunge; Overhead Press; Lateral Raise; Dumbbell Fly; Triceps Pushdown; Calf Raise,chin-up had hurt in my ankle.,none,na
Dumbbell Fly,Dumbbell Fly; Hamstring Curl; Leg Press; Leg Extension; Barbell Row; Romanian Deadlift; Bench Press; Calf Raise,leg extension missed reps!,none,na
Lateral Raise,Calf Raise; Lunge; Leg Extension; Hamstring Curl; Dumbbell Fly; Face Pull; Lateral Raise,All good.,none,na
Deadlift,Squat; Dumbbell Fly; Romanian Deadlift; Deadlift; Face Pull; Calf Raise,"Also, had to leave early so I cut face pull.",none,na
Triceps Pushdown,Overhead Press; Triceps Pushdown; Leg Press; Pull-Up; Calf Raise; Dumbbell Curl; Lat Pulldown; Face Pull,All good.,none,na
Leg Press,Pull-Up; Face Pull; Leg Extension; Leg Press; Lat Pulldown; Overhead Press; Dumbbell Fly,Note: on rear delt my lost tightness.,none,na
Deadlift,Squat; Leg Extension; Face Pull; Dumbbell Fly; Lateral Raise; Deadlift; Lat Pulldown; Hamstring Curl,Note: bad sleep today. Overall ok.,none,na
Triceps Pushdown,Leg Press; Lat Pulldown; Incline Bench Press; Dumbbell Fly; Overhead Press; Triceps Pushdown; Pull-Up,"Also, lat pulldown failed last set! Overall ok.",none,na
Overhead Press,Lunge; Leg Press; Leg Extension; Overhead Press; Deadlift; Triceps Pushdown,"Also, press and leg extension were super heavy and I couldn't finish all reps.",none,na
Incline Bench Press,Incline Bench Press; Dumbbell Curl; Hip Thrust; Lateral Raise; Pull-Up,side raise was too light could increase load.,none,na
Leg Press,Leg Extension; Bench Press; Leg Press; Hamstring Curl; Dumbbell Curl; Overhead Press; Lat Pulldown,flat bnech missed reps.,none,na
Pull-Up,Bench Press; Leg Press; Hamstring Curl; Triceps Pushdown; Lunge; Pull-Up; Dumbbell Fly; Barbell Row,Solid session.,none,na
Squat,Triceps Pushdown; Squat; Incline Bench Press; Calf Raise; Leg Extension; Deadlift; Romanian Deadlift; Face Pull,Solid session.,none,na
Dumbbell Curl,Hip Thrust; Bench Press; Incline Bench Press; Leg Press; Dumbbell Fly; Face Pull; Dumbbell Curl; Pull-Up,"Also, felt gassed today.",none,na
Squat,Triceps Pushdown; Face Pull; Leg Press; Squat; Lat Pulldown,Note: face pull and pulldown were brutal.,none,na
Overhead Press,Dumbbell Curl; Romanian Deadlift; Incline Bench Press; Bench Press; Lat Pulldown; Overhead Press; Squat,Everything went fine.,none,na
Hip Thrust,Calf Raise; Deadlift; Dumbbell Fly; Hamstring Curl; Barbell Row; Dumbbell Curl; Hip Thrust,calves felt easy. leg curl felt easy. glute bridge was too heavy. Overall ok.,too_heavy,medium
Lateral Raise,Lateral Raise; Incline Bench Press; Hamstring Curl; Calf Raise; Face Pull,All good.,none,na
Squat,Lateral Raise; Incline Bench Press; Dumbbell Curl; Calf Raise; Squat,"Also, incline press and bsq felt light.",too_light,medium
Overhead Press,Bench Press; Leg Extension; Leg Press; Romanian Deadlift; Lunge; Overhead Press; Hip Thrust; Deadlift,felt gassed today. ngl,none,na
Hamstring Curl,Deadlift; Lunge; Hip Thrust; Hamstring Curl; Overhead Press; Leg Extension; Calf Raise; Lat Pulldown,"Felt good today, no issues.",none,na
Lateral Raise,Calf Raise; Romanian Deadlift; Hamstring Curl; Overhead Press; Leg Extension; Pull-Up; Barbell Row; Lateral Raise,"Also, not recovered today!",none,na
Overhead Press,Leg Press; Overhead Press; Squat; Leg Extension; Lat Pulldown; Incline Bench Press; Hamstring Curl,not recovered today. bsq had to stop early and I missed reps.,none,na
Hamstring Curl,Leg Press; Overhead Press; Squat; Leg Extension; Lat Pulldown; Incline Bench Press; Hamstring Curl,not recovered today. bsq had to stop early and I missed reps.,none,na
Hamstring Curl,Incline Bench Press; Lateral Raise; Hamstring Curl; Bench Press; Romanian Deadlift,time crunch so I cut side raise.,none,na
Overhead Press,Overhead Press; Hamstring Curl; Romanian Deadlift; Leg Press; Calf Raise,rack was occupied so I couldn't do leg curl! romanian deadlift had tweak in my ankle! Need more rest.,none,na
Overhead Press,Triceps Pushdown; Leg Press; Lat Pulldown; Face Pull; Squat; Overhead Press; Dumbbell Curl,"Felt good today, no issues.",none,na
Hip Thrust,Lunge; Bench Press; Romanian Deadlift; Hip Thrust; Triceps Pushdown; Lateral Raise; Lat Pulldown,Note: no cables available so I couldn't do rdl.,none,na
Leg Extension,Barbell Row; Dumbbell Curl; Leg Extension; Dumbbell Fly; Leg Press; Face Pull; Bench Press,bb row missed reps. fly was too light next time add weight.,none,na
Lateral Raise,Pull-Up; Leg Extension; Romanian Deadlift; Face Pull; Lateral Raise; Triceps Pushdown,"Also, pullup and leg extension felt too easy.",none,na
Leg Extension,Incline Bench Press; Bench Press; Pull-Up; Barbell Row; Leg Extension; Overhead Press; Dumbbell Curl; Hip Thrust,on hip thrust my knees caved. no cables available so I couldn't do pull-up!,none,na
Lat Pulldown,Dumbbell Curl; Hip Thrust; Incline Bench Press; Calf Raise; Lunge; Overhead Press; Lat Pulldown; Squat,bad sleep today.,none,na
Calf Raise,Lat Pulldown; Calf Raise; Triceps Pushdown; Deadlift; Barbell Row; Squat,stressful day today. lol,none,na
Pull-Up,Pull-Up; Lateral Raise; Incline Bench Press; Romanian Deadlift; Calf Raise; Squat,Note: stressful day today.,none,na
Hip Thrust,Lat Pulldown; Dumbbell Curl; Lunge; Hip Thrust; Lateral Raise; Overhead Press; Leg Press,Everything went fine.,none,na
Incline Bench Press,Incline Bench Press; Calf Raise; Dumbbell Fly; Barbell Row; Lat Pulldown; Lunge,short on time so I cut incline press.,time,medium
Calf Raise,Dumbbell Fly; Incline Bench Press; Triceps Pushdown; Leg Press; Dumbbell Curl; Overhead Press; Leg Extension; Calf Raise,Note: fly had aching in my shoulder.,none,na
Squat,Face Pull; Deadlift; Hip Thrust; Barbell Row; Hamstring Curl; Lunge; Romanian Deadlift; Squat,Note: machine was taken so I couldnt do split squat!,none,na
Pull-Up,Leg Press; Lunge; Hip Thrust; Pull-Up; Triceps Pushdown; Leg Extension; Dumbbell Curl,Solid session.,none,na
Hip Thrust,Hip Thrust; Overhead Press; Deadlift; Triceps Pushdown; Leg Extension; Lat Pulldown; Squat; Lateral Raise,leg extension had tweak in my knee. short on time so I cut squat.,none,na
Calf Raise,Dumbbell Curl; Calf Raise; Dumbbell Fly; Triceps Pushdown; Bench Press; Incline Bench Press; Hip Thrust,on hip thrust my technique felt off! time crunch so I cut rope pushdown! no cables available so I couldn't do incline press.,none,na
Barbell Row,Pull-Up; Calf Raise; Face Pull; Romanian Deadlift; Barbell Row; Squat; Deadlift,Note: face pull and calves felt light could add weight next time.,none,na
Squat,Leg Press; Barbell Row; Leg Extension; Dumbbell Fly; Squat; Hamstring Curl,All good.,none,na
Dumbbell Fly,Dumbbell Fly; Leg Extension; Pull-Up; Hamstring Curl; Leg Press; Triceps Pushdown; Romanian Deadlift; Squat,quad extension had pain in my neck!,none,na
Squat,Leg Press; Lat Pulldown; Lunge; Barbell Row; Squat; Overhead Press; Hip Thrust; Lateral Raise,military press was too light could increase load. split squat was too heavy and I failed the last rep.,none,na
Dumbbell Fly,Dumbbell Fly; Hamstring Curl; Lateral Raise; Barbell Row; Deadlift,side raise and barbell row felt easy.,none,na
Romanian Deadlift,Face Pull; Leg Press; Bench Press; Romanian Deadlift; Lat Pulldown; Deadlift; Lateral Raise; Triceps Pushdown,lateral raise was too heavy and I missed reps! on pushdown my lost tightness.,none,na
Overhead Press,Overhead Press; Incline Bench Press; Bench Press; Pull-Up; Lat Pulldown; Leg Press; Triceps Pushdown,overhead press felt easy!,too_light,medium
Incline Bench Press,Hamstring Curl; Leg Press; Dumbbell Curl; Squat; Incline Bench Press; Pull-Up; Lat Pulldown; Barbell Row,stressful day today.,none,na
Incline Bench Press,Lateral Raise; Romanian Deadlift; Hip Thrust; Incline Bench Press; Deadlift; Squat,deadlift failed last set.,none,na
Triceps Pushdown,Squat; Triceps Pushdown; Calf Raise; Pull-Up; Leg Extension; Bench Press; Dumbbell Fly; Hip Thrust,quad extension and pushdown felt too easy could add weight next time!,too_light,high
Dumbbell Fly,Face Pull; Romanian Deadlift; Lat Pulldown; Dumbbell Fly; Deadlift,All good.,none,na
Lunge,Romanian Deadlift; Face Pull; Triceps Pushdown; Dumbbell Fly; Lunge; Pull-Up; Hip Thrust; Barbell Row,on barbell row my knees caved. short on time so I cut lunge. Need more rest.,time,medium
Leg Press,Overhead Press; Incline Bench Press; Barbell Row; Hip Thrust; Leg Press; Squat; Lunge; Bench Press,incline press too easy. squat smoked me. gym was packed so I couldn't do barbell row!,none,na
Triceps Pushdown,Deadlift; Triceps Pushdown; Lat Pulldown; Pull-Up; Leg Press; Squat,"Also, chin-up and lat pull-down felt easy could add weight next time.",none,na
Lat Pulldown,Pull-Up; Incline Bench Press; Leg Extension; Lat Pulldown; Dumbbell Fly; Hip Thrust; Leg Press; Calf Raise,"Felt good today, no issues.",none,na
Hamstring Curl,Dumbbell Curl; Triceps Pushdown; Bench Press; Calf Raise; Hip Thrust; Leg Extension; Hamstring Curl,bnechpress smoked me and I missed reps.,none,na
Leg Extension,Leg Extension; Incline Bench Press; Squat; Calf Raise; Lateral Raise; Lunge,"Also, felt low energy today. on incline bench my couldn't keep balance.",none,na
Deadlift,Hamstring Curl; Deadlift; Lat Pulldown; Calf Raise; Dumbbell Curl,"Also, calves, lat pulldown, and dumbbell curl were super heavy!",none,na
Triceps Pushdown,Triceps Pushdown; Barbell Row; Romanian Deadlift; Leg Extension; Bench Press; Hamstring Curl; Face Pull; Lunge,tricep pushdown and flat bench were brutal.,too_heavy,low
Romanian Deadlift,Hip Thrust; Deadlift; Romanian Deadlift; Lunge; Dumbbell Fly; Triceps Pushdown; Dumbbell Curl,hip thrust and pushdown were too heavy.,none,na
Lat Pulldown,Bench Press; Overhead Press; Incline Bench Press; Face Pull; Calf Raise; Lat Pulldown,calf raise and rear delt were brutal and I couldn't finish all reps.,none,na
Leg Press,Dumbbell Curl; Deadlift; Lunge; Leg Press; Bench Press,"split sqaut, benchpress, and pull were too heavy. Will adjust next time.",none,na
Lat Pulldown,Lat Pulldown; Lateral Raise; Bench Press; Barbell Row; Triceps Pushdown; Romanian Deadlift,Note: bb row felt like warmup! lateral raise had felt tight in my ankle.,none,na
Incline Bench Press,Incline Bench Press; Bench Press; Leg Extension; Face Pull; Squat,incline bench and back sqaut felt easy!,too_light,medium
Dumbbell Curl,Incline Bench Press; Lat Pulldown; Pull-Up; Calf Raise; Barbell Row; Leg Extension; Dumbbell Curl,calves felt easy next time add weight. couldn't finish accessories so I cut chinup.,none,na
Squat,Pull-Up; Deadlift; Bench Press; Face Pull; Overhead Press; Lunge; Squat; Lat Pulldown,"Also, rear delt and lat pulldown felt light could add weight next time.",none,na
Face Pull,Dumbbell Fly; Deadlift; Leg Extension; Lunge; Incline Bench Press; Face Pull; Pull-Up; Bench Press,split squat had aching in my elbow.,none,na
Hamstring Curl,Hip Thrust; Romanian Deadlift; Leg Press; Lat Pulldown; Squat; Hamstring Curl,"Felt good today, no issues.",none,na
Dumbbell Fly,Dumbbell Fly; Face Pull; Squat; Incline Bench Press; Lunge,rear delt had hurt in my wrist!,none,na
Calf Raise,Leg Extension; Face Pull; Triceps Pushdown; Lat Pulldown; Hip Thrust; Deadlift; Calf Raise; Romanian Deadlift,rear delt had 4 reps in reserve could increase load. Overall ok.,none,na
Triceps Pushdown,Bench Press; Lat Pulldown; Barbell Row; Deadlift; Lunge; Hip Thrust; Triceps Pushdown,on deadlift my couldn't keep balance. bb row missed reps.,none,na
Triceps Pushdown,Hip Thrust; Deadlift; Triceps Pushdown; Lunge; Bench Press; Leg Press; Overhead Press; Dumbbell Curl,All good.,none,na
Barbell Row,Calf Raise; Triceps Pushdown; Dumbbell Curl; Overhead Press; Barbell Row; Leg Press,Note: bb row and shoulder press felt easy could add weight next time!,too_light,medium
Hamstring Curl,Hamstring Curl; Deadlift; Squat; Barbell Row; Leg Extension; Lateral Raise; Hip Thrust; Dumbbell Fly,All good.,none,na
Leg Press,Calf Raise; Romanian Deadlift; Lunge; Squat; Incline Bench Press; Deadlift; Leg Extension; Leg Press,"Felt good today, no issues.",none,na
Lunge,Barbell Row; Dumbbell Fly; Hamstring Curl; Lunge; Dumbbell Curl; Hip Thrust; Overhead Press,on barbell row my lost tightness. split squat couldn't finish.,too_heavy,medium
Deadlift,Deadlift; Dumbbell Fly; Bench Press; Dumbbell Curl; Squat; Barbell Row; Lunge; Hamstring Curl,Note: db fly absolutely brutal and I missed reps.,none,na
Triceps Pushdown,Pull-Up; Dumbbell Fly; Deadlift; Face Pull; Barbell Row; Lateral Raise; Calf Raise; Triceps Pushdown,"Also, deadlift and fly were brutal and I couldn't finish all reps.",none,na
Squat,Squat; Lunge; Hip Thrust; Incline Bench Press; Lat Pulldown; Hamstring Curl; Deadlift; Romanian Deadlift,time crunch so I cut split squat. hamstring curl felt like warmup!,none,na
Squat,Leg Extension; Lunge; Hip Thrust; Hamstring Curl; Lateral Raise; Squat,Everything went fine. ngl,none,na
Deadlift,Hip Thrust; Triceps Pushdown; Barbell Row; Overhead Press; Deadlift; Dumbbell Curl; Face Pull,Note: dl and hip thrust were super heavy. Overall ok.,too_heavy,low
Calf Raise,Romanian Deadlift; Deadlift; Squat; Incline Bench Press; Bench Press; Lunge; Calf Raise; Dumbbell Curl,felt low energy today.,none,na
Leg Press,Barbell Row; Squat; Dumbbell Fly; Lunge; Bench Press; Leg Press; Dumbbell Curl; Lateral Raise,felt gassed today! benchpress was too light next time add weight.,none,na
Hip Thrust,Lat Pulldown; Bench Press; Deadlift; Hip Thrust; Overhead Press; Romanian Deadlift,shoulder press and hip thrust felt too easy could add weight next time.,too_light,low
Dumbbell Curl,Pull-Up; Dumbbell Curl; Lat Pulldown; Face Pull; Squat,BTW had to leave early so I cut pulldown.,none,na
Lateral Raise,Dumbbell Fly; Triceps Pushdown; Overhead Press; Bench Press; Incline Bench Press; Face Pull; Lateral Raise; Dumbbell Curl,time crunch so I cut rear delt.,none,na
Lunge,Hip Thrust; Dumbbell Fly; Barbell Row; Face Pull; Dumbbell Curl; Squat; Lunge; Lateral Raise,ran out of time so I cut squat. Overall ok.,none,na
Squat,Face Pull; Squat; Leg Press; Incline Bench Press; Dumbbell Curl; Lunge; Triceps Pushdown; Lateral Raise,All good.,none,na
Bench Press,Dumbbell Fly; Calf Raise; Hip Thrust; Bench Press; Lateral Raise,hip thrust felt like warmup!,none,na
Leg Extension,Overhead Press; Triceps Pushdown; Hamstring Curl; Lat Pulldown; Barbell Row; Face Pull; Leg Extension,bad sleep today! no cables available so I couldn't do pushdown.,none,na
Hamstring Curl,Lat Pulldown; Pull-Up; Hamstring Curl; Triceps Pushdown; Barbell Row; Lateral Raise; Romanian Deadlift,Note: on pullup my back rounded!,none,na
Dumbbell Fly,Dumbbell Curl; Overhead Press; Pull-Up; Hamstring Curl; Leg Extension; Hip Thrust; Deadlift; Dumbbell Fly,gym was packed so I couldn't do fly. leg curl felt easy next time add weight. leg extension felt super heavy.,equipment,medium
Lunge,Incline Bench Press; Lunge; Triceps Pushdown; Dumbbell Curl; Romanian Deadlift; Squat,"Felt good today, no issues.",none,na
Face Pull,Calf Raise; Dumbbell Curl; Deadlift; Hamstring Curl; Lunge; Leg Extension; Face Pull; Lateral Raise,BTW leg extension felt super heavy!,none,na
Dumbbell Curl,Triceps Pushdown; Leg Press; Lat Pulldown; Face Pull; Squat; Overhead Press; Dumbbell Curl,"Felt good today, no issues.",none,na
Barbell Row,Lateral Raise; Deadlift; Calf Raise; Squat; Barbell Row,"Also, calf raise too easy! bb row smoked me! Will adjust next time.",too_heavy,medium
Triceps Pushdown,Leg Extension; Face Pull; Dumbbell Curl; Dumbbell Fly; Hamstring Curl; Hip Thrust; Barbell Row; Triceps Pushdown,no cables available so I couldnt do hip thrust!,none,na
Dumbbell Fly,Dumbbell Fly; Incline Bench Press; Triceps Pushdown; Hamstring Curl; Calf Raise; Hip Thrust; Deadlift; Lateral Raise,bad sleep today.,none,na
Leg Extension,Lat Pulldown; Romanian Deadlift; Calf Raise; Lateral Raise; Face Pull; Incline Bench Press; Leg Extension; Dumbbell Curl,on incline bnech my knees caved! lat pulldown absolutely brutal and I missed reps.,none,na
Hamstring Curl,Romanian Deadlift; Deadlift; Dumbbell Fly; Hip Thrust; Dumbbell Curl; Leg Press; Hamstring Curl; Leg Extension,glute bridge felt like warmup next time add weight. leg curl had 4 reps in reserve could increase load.,too_light,low
Barbell Row,Face Pull; Lat Pulldown; Overhead Press; Pull-Up; Romanian Deadlift; Barbell Row; Hip Thrust; Deadlift,no cables available so I couldn't do row!,equipment,medium
Face Pull,Lat Pulldown; Romanian Deadlift; Pull-Up; Face Pull; Hip Thrust; Squat,stressful day today.,none,na
Face Pull,Triceps Pushdown; Lateral Raise; Incline Bench Press; Squat; Leg Extension; Face Pull; Dumbbell Curl; Hip Thrust,"Also, short on time so I cut dumbbell curl.",none,na
Squat,Face Pull; Triceps Pushdown; Squat; Leg Press; Hamstring Curl; Lunge; Pull-Up; Incline Bench Press,pushdown had hurt in my hip.,none,na
Leg Extension,Squat; Leg Extension; Dumbbell Fly; Lat Pulldown; Romanian Deadlift; Leg Press,pulldown had aching in my elbow. had to leave early so I cut quad extension! leg press couldn't finish.,time,medium
Barbell Row,Squat; Dumbbell Fly; Bench Press; Incline Bench Press; Face Pull; Barbell Row; Lat Pulldown; Pull-Up,"pulldown, fly, and incline bench were too heavy and I couldn't finish all reps.",none,na
Leg Press,Lunge; Triceps Pushdown; Barbell Row; Leg Press; Hip Thrust; Lat Pulldown,Note: on leg press my lost tightness. Need more rest.,form,high
Leg Press,Pull-Up; Hip Thrust; Squat; Barbell Row; Leg Press; Overhead Press; Romanian Deadlift,machine was taken so I couldn't do ohp.,none,na
Calf Raise,Squat; Dumbbell Curl; Overhead Press; Incline Bench Press; Face Pull; Calf Raise; Romanian Deadlift; Lateral Raise,BTW face pull felt easy next time add weight! bad sleep today! curl had to stop early.,none,na
Bench Press,Calf Raise; Dumbbell Fly; Lunge; Bench Press; Deadlift; Lat Pulldown,BTW deadlift and calves felt easy could add weight next time. Need more rest.,none,na
Triceps Pushdown,Barbell Row; Incline Bench Press; Calf Raise; Dumbbell Fly; Triceps Pushdown; Hamstring Curl; Dumbbell Curl,felt low energy today!,none,na
Incline Bench Press,Incline Bench Press; Dumbbell Fly; Bench Press; Squat; Hamstring Curl; Overhead Press; Barbell Row,barbell row absolutely brutal and I failed the last rep!,none,na
